Attribute,Value,Year,Month,Year,Month,Year,Month
EUR,103.037,2007,July,2007,July,2007,July
EUR,103.05061,2004,July,2004,July,2004,July
EUR,103.07158,2004,September,2004,September,2004,September
EUR,103.096,2007,July,2007,July,2007,June
EUR,103.105,2007,August,2007,August,2007,July
EUR,103.116,2006,September,2006,September,2006,August
EUR,103.119,2004,July,2004,July,2004,July
EUR,103.124,2007,September,2007,September,2007,August
EUR,103.15744,2004,August,2004,August,2004,August
EUR,103.17058,2004,July,2004,July,2004,July
EUR,103.172,2007,July,2007,July,2007,June
EUR,103.179,2007,July,2007,July,2007,July
EUR,103.18144,2006,August,2006,August,2006,August
EUR,103.18206,2004,August,2004,August,2004,August
EUR,103.21242,2006,September,2006,September,2006,August
EUR,103.263,2009,May,2009,May,2009,February
EUR,103.269,2007,July,2007,July,2007,June
EUR,103.27455,2006,May,2006,May,2006,April
EUR,103.284,2007,July,2007,July,2007,July
EUR,103.315,2008,December,2008,December,2008,September
EUR,103.32599,2004,July,2004,July,2004,July
EUR,103.337,2007,August,2007,August,2007,July
EUR,103.33734,2006,November,2006,November,2006,October
EUR,103.3384,2007,January,2007,January,2006,December
EUR,103.344,2007,July,2007,July,2007,July
EUR,103.3519,2006,June,2006,June,2006,May
EUR,103.36367,2006,May,2006,May,2006,April
EUR,103.37385,2006,August,2006,August,2006,August
EUR,103.38123,2004,September,2004,September,2004,September
EUR,103.38195,2006,August,2006,August,2006,July
EUR,103.38404,2004,July,2004,July,2004,July
EUR,103.38448,2004,July,2004,July,2004,July
EUR,103.38788,2007,February,2007,February,2007,January
EUR,103.39727,2004,August,2004,August,2004,August
EUR,103.404,2007,July,2007,July,2007,July
EUR,103.4298,2004,July,2004,July,2004,July
EUR,103.43081,2004,July,2004,July,2004,July
EUR,103.46063,2004,September,2004,September,2004,September
EUR,103.47891,2007,January,2007,January,2007,January
EUR,103.534,2009,May,2009,May,2009,February
EUR,103.58815,2004,August,2004,August,2004,August
EUR,103.58869,2007,February,2007,February,2007,January
EUR,103.61973,2006,June,2006,June,2006,May
EUR,103.62151,2007,January,2007,January,2006,December
EUR,103.62346,2004,July,2004,July,2004,July
EUR,103.65506,2007,January,2007,January,2007,January
EUR,103.662,2007,September,2007,September,2007,August
EUR,103.686,2007,September,2007,September,2007,August
EUR,103.71625,2006,June,2006,June,2006,May
EUR,103.73544,2007,January,2007,January,2007,January
EUR,103.736,2009,May,2009,May,2009,February
EUR,103.74228,2007,February,2007,February,2007,January
EUR,103.75155,2006,November,2006,November,2006,November
EUR,103.76334,2007,January,2007,February,2007,January
EUR,103.77648,2007,February,2007,February,2007,January
EUR,103.78217,2007,February,2007,February,2007,January
EUR,103.78238,2007,January,2007,January,2006,December
EUR,103.79702,2004,July,2004,July,2004,July
EUR,103.80069,2004,September,2004,September,2004,September
EUR,103.807,2007,September,2007,September,2007,August
EUR,103.8185,2007,January,2007,January,2006,December
EUR,103.85198,2007,February,2007,February,2007,January
EUR,103.86512,2004,July,2004,July,2004,July
